date,aod550_filled,B1_filled,B2_filled,B3_filled,B4_filled,B5_filled,B6_filled,B7_filled,B8_filled,B8A_filled,B9_filled,B11_filled,B12_filled,AOT_filled,WVP_filled,no2_filled,so2_filled,co_filled,hcho_filled,o3_filled,ai_filled,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site
2026-01-18,0.1936756424835115,604.5918188362928,739.2686405508234,895.7799974622934,940.32464781334,1269.5324297855395,1556.9073762636476,1914.7917924721428,1966.4466159610656,1957.745709694861,2270.3168024101537,1824.1636390479457,1334.4657650861482,252.4750591662867,849.5922668684336,1.9270862536916992e-05,8.458417795594721e-05,0.0319528327458232,0.0002327751961328,0.1132992583129361,0.8692949115664482,11.4,5.62,67.6,0.0,90354.64,0.73,286.41,0.0,0.3596,-0.001852,16724116.0,21063528.0,2.4642,1.9876,145.79,0.3047192331091634,0.9524422234305676,pokhara
2026-01-19,0.2224487804878049,680.1602551820123,768.039767397157,908.1281543909922,960.9012595390284,1245.8014685173032,1588.133377151858,1945.587105412088,2010.7308520725144,1946.3985076652948,2263.138852028466,1815.950593086219,1363.481713518472,277.862347352158,1045.395351078805,2.083264912409673e-05,0.0006695427582599,0.0358221419627532,0.0002553305354732,0.121316477395631,0.3167378630543923,13.61,8.25,70.05,0.89,90369.65,0.32,303.42,0.0001,0.3551,-0.001834,16810592.0,21971300.0,2.4644,1.9905,195.39,0.321057654185271,0.9470596510722284,pokhara
2026-01-20,0.236249631845375,670.1911266186969,757.2757614894621,894.2926767550896,932.3444864043412,1246.10747746486,1588.614818285817,1947.325704798748,2033.48253341924,1959.0880551442365,2257.132851835254,1756.3981402974532,1356.975820906552,282.9773987707021,1091.588809215364,3.109578287530059e-05,0.0001063535823603,0.0334233645679276,0.0001945924086681,0.1200865516677803,-0.0125715402048959,13.83,8.89,72.1,5.53,90484.9,0.34,287.01,0.0003,0.3818,-0.001487,13626040.0,22682590.0,2.4646,1.9932,129.12,0.3373010691361842,0.9413968285264122,pokhara
2026-01-21,0.2338555980215827,679.9100123614696,775.4712254011449,913.9891989453416,957.4328048478566,1271.4991565535731,1589.5411869952409,1961.9447361215623,2037.6742075585296,2003.343392248541,2265.571713139016,1841.7517802099744,1380.9782936939368,271.93926642350146,1096.5277734884546,2.881546397912408e-05,0.0006531184772029,0.0317620954229241,3.82063522643484e-06,0.1228236351870551,0.0783943102991895,14.07,8.89,71.01,0.86,90539.53,0.02,339.95,0.0002,0.3744,-0.00171,15825552.0,22772988.0,2.4647,1.996,165.87,0.3534446712740877,0.9354554315134164,pokhara
2026-01-22,0.2884100750511713,707.2528024616377,803.2045738732581,961.8954608120548,1027.9806273177142,1324.95557932551,1617.317745634523,1958.4669290301936,2025.948931214578,1999.8141345491404,2235.280771082024,1905.3641614706464,1469.6705697182892,278.59092532000085,1064.4879866535648,3.139148888990302e-05,0.0001714150948035,0.0331256053227041,0.0001055459594957,0.11534625936904,-0.3704214331210481,14.03,9.25,72.94,0.96,90636.6,0.09,41.19,0.0001,0.3699,-0.001489,14421096.0,22926122.0,2.4648,1.9988,145.41,0.3694836834473831,0.9292372181882051,pokhara
2026-01-23,0.3304301703975943,697.7192921355717,791.6708955539556,921.1469918690448,990.2977744002906,1285.1891954207294,1576.543870781658,1951.2787675244929,2023.740950141515,2026.709993470523,2282.296715286342,1864.8709062736057,1417.092858156867,273.943864837951,984.3003920749028,2.086005597111074e-05,0.0006531184772029,0.0363400876604789,0.000214515833805,0.1153983466901256,0.8562156708570262,12.43,7.07,69.83,0.67,90867.05,0.51,286.97,0.0001,0.3639,-0.001715,15778124.0,23445607.0,2.4651,2.0016,177.08,0.3854133594543256,0.9227440286201428,pokhara
2026-01-24,0.4510537898465173,266.3376022615325,356.1108352193871,529.9290550460222,628.6081662472603,885.5492743913641,1569.386052969971,1832.3670870118035,2044.574321613356,2093.9005687446192,961.9776501991356,1873.8683945121008,1320.2008597804984,710.7887609128197,260.8396437866003,2.409066800027229e-05,0.0006920129015004,0.0360373104314395,0.0001025020573871,0.1254782386659689,0.7213373424220302,12.47,6.17,65.48,0.78,90808.7,0.78,280.45,0.0002,0.3616,-0.00129,11335352.0,23380383.0,2.4652,2.0044,164.58,0.4012289854475009,0.9159777842484876,pokhara
2026-01-25,0.3292545454545454,724.5316707457015,807.4270595430183,935.7316767594762,1017.4022898892738,1299.754853031406,1570.0923847443764,1967.035184996628,1986.2274661198112,1987.6863755828867,2278.447707261443,1825.4994553016872,1424.0659448068882,271.51522524996767,921.8379137748642,2.4165404276157168e-05,0.0002051206927952,0.0377238849639713,7.23401050055995e-05,0.130275410022479,-0.0735588482250404,11.04,5.75,69.87,1.03,90656.26,0.76,280.47,0.0002,0.3598,-0.00132,12257512.0,21846681.0,2.4654,2.0072,140.35,0.4169258813287287,0.908940487313808,pokhara
2026-01-26,0.2997733887256703,703.4324932091274,803.502932046118,942.106883556346,1014.9917354474017,1291.735819550213,1568.0650435296975,1955.9716442296756,2005.6160325942585,1966.9605990504629,2301.784545769689,1869.2835668872692,1380.4991895316657,280.0088930752828,916.8317317255968,2.098796978351837e-05,0.0004121990932617,0.0323572153421533,0.0001629917403446,0.1150628794699954,0.0922923230361967,12.28,6.07,65.83,0.0,90782.4,0.49,282.51,0.0001,0.3562,-0.00202,17319776.0,21343565.0,2.4656,2.01,179.08,0.4324994021339788,0.901634220265486,pokhara
2026-01-27,0.3059565117349287,762.8169875805763,814.7112830501015,962.2320451129444,1041.3547664301918,1309.0795162713855,1594.185099809706,2034.682867716624,2048.381606739875,2030.641182606312,2304.78419917715,1943.3856979487412,1457.7187944746854,288.25227915917526,1054.296479033716,2.939463423188333e-05,0.0004108611610718,0.0345623110760456,0.0003240839628601,0.1159449222489608,-0.0536735541760047,14.25,7.76,64.98,2.37,90812.12,0.29,286.1,0.0001,0.3491,-0.002031,17412828.0,23689904.0,2.4657,2.0127,170.15,0.4479449394078911,0.8940611451454876,pokhara
2026-01-28,0.3957298994064331,785.400796824239,830.5863485605979,977.3671037798044,1082.6558999905706,1375.8089689790377,1637.269533420277,1991.5912596033104,2043.421445142776,2003.8452204123705,2300.777948890331,1939.2438433756972,1449.1898920131125,304.9927095283406,1069.2325744408067,2.597496717839813e-05,0.0003660580550786,0.0402512459891264,0.000109914386022,0.1186175732776748,-0.5724731520588485,13.03,9.21,77.61,10.49,90745.05,0.49,264.49,0.0004,0.4041,-0.000441,5459676.0,25661525.0,2.4659,2.0155,97.29,0.4632579225674917,0.88622350294858,pokhara
2026-01-29,0.1277785661287331,1989.69082226312,1973.1554124139484,1945.530868828588,1920.594227706091,2188.3225738897854,2561.922038415041,2733.071867496912,2765.823280602497,2811.452026119915,2774.5093679228003,2453.721230863565,2023.9071266349,197.63343031125183,1129.8495636022485,1.894829887941146e-05,0.0003198747715038,0.0306007854826694,0.0001478650959097,0.1248017308010447,-0.1137451233786078,13.25,7.26,67.05,2.69,90641.94,0.25,260.56,0.0003,0.392,-0.001991,16918884.0,22325482.0,2.4661,2.0183,194.07,0.4784338202547012,0.8781236129591848,pokhara
2026-01-30,0.1068235842619968,633.7021800436377,773.7398630466378,916.3256012640294,972.9867046141304,1273.0923660635012,1598.3985436352457,2016.1918770994484,2025.486559321656,2008.312736348486,2339.4155894561536,1876.7903591030708,1375.7464369086174,292.067510184611,1013.7897315964368,2.174973126934674e-05,0.000373228918761,0.0317800358533872,7.896387756407377e-05,0.1252171860614794,0.2146569393729825,14.1,7.12,62.79,0.0,90690.39,0.28,198.27,0.0001,0.3809,-0.002056,17463732.0,22294451.0,2.4662,2.0211,171.06,0.4934681416772373,0.8697638720650646,pokhara
2026-01-31,0.2474828362464904,577.4083554047488,746.6454540849387,904.1360656003188,991.4278229174956,1298.1152073954315,1581.6980139106192,1981.7880343313232,2023.145296504488,2001.01045000978,2320.676063002856,1879.419182832578,1433.011297879823,274.58001881851794,841.2587446204252,2.629097370380488e-05,0.0004288386844564,0.0369758032755285,0.0001782506407588,0.1257093590257193,-0.9421114224482912,11.84,5.23,63.92,0.01,90811.04,0.56,267.9,0.0,0.37,-0.001693,14724224.0,21935070.0,2.4663,2.0238,131.17,0.5083564379375122,0.8611467540480452,pokhara
2026-02-01,0.2432082058414464,634.7265540700982,765.4262903519556,931.5117958492832,965.109620439272,1264.862168897523,1579.745875734212,2004.0829919371968,2019.3513786422272,1963.3881521888936,2357.942045487832,1892.0623474131328,1359.041331376146,283.8441528967226,850.4392955818741,3.476627474934484e-05,0.0003880390140693,0.033067813950665,0.0001768568006208,0.131623914625327,-0.866465318629075,11.22,5.3,66.95,0.0,90834.11,0.67,270.45,0.0,0.361,-0.002239,18093924.0,21392953.0,2.4665,2.0267,172.72,0.5230943033491326,0.8522748088519838,pokhara
2026-02-02,0.2116322471240662,647.6196380834917,769.6642375172623,947.0521879982036,951.2157747560912,1268.4304676028198,1583.959443439029,2029.173543152267,2056.820968879441,1962.0531825180897,2343.0563526937217,1876.426928487408,1387.5900560283524,292.9541148311477,911.56333477209,2.294638793558372e-05,2.3940771327098144e-05,0.0358505702603192,0.0002642834182451,0.1326167575623888,-0.321418052553307,12.52,6.57,67.07,0.06,90771.71,0.6,260.16,0.0,0.3537,-0.002115,17628692.0,21743582.0,2.4667,2.0295,186.36,0.5376773767406141,0.8431506618282,pokhara
2026-02-03,0.4294047779273215,738.6068229395778,821.6589148442649,984.6639308615752,980.6148961030264,1289.7350396329396,1588.903984344554,1994.652008533928,2043.1424108840447,1986.123192233305,2297.8989425443374,1885.3316531091089,1451.024565176661,300.21940771952774,914.6015945963948,2.501761576175006e-05,0.0002834655169863,0.0383353123270348,0.0001788416530466,0.1285061866064106,0.0049546402249406,11.15,6.42,72.62,2.78,90948.31,0.85,275.34,0.0002,0.3629,-0.000973,9943284.0,23905498.0,2.4668,2.0322,133.69,0.5521013427459208,0.8337770129585915,pokhara
2026-02-04,0.1568567337978428,642.869249565161,764.5603152132269,901.5055703875764,896.7752117411201,1203.942996917318,1588.2119311429365,1981.0473284356424,2005.382199907932,1978.885722417755,2312.195200218605,1823.4854865503328,1374.580531243166,292.1924554026869,937.2375492031877,1.2782195946140688e-05,7.487907420126204e-05,0.0324580163078341,9.07726203221522e-05,0.1251271332230791,0.0232433111845522,11.52,5.99,68.81,1.04,90781.86,0.63,271.23,0.0002,0.3617,-0.002254,17627976.0,21486742.0,2.467,2.035,219.16,0.5663619330814524,0.8241566360566663,pokhara
2026-02-05,0.1640775655775426,604.3619785028712,729.7301715245759,887.7769883121001,869.5256030654307,1198.0482775051328,1577.566296917922,1997.3313435180871,2052.1852050380494,1958.5737052022005,2316.303969686777,1837.408649428067,1354.840966895228,297.28250671817545,987.2007217943568,2.2370290954872663e-05,0.0002876133075915,0.0305421829872583,0.0001369052520648,0.1216137876345322,0.0816766739430313,13.05,7.3,68.1,0.01,90674.12,0.39,233.97,0.0001,0.3559,-0.002136,17803408.0,21887130.0,2.4672,2.0378,190.82,0.580454927809098,0.8142923779467267,pokhara
2026-02-06,0.2653455310438935,581.6932211321781,719.0109293883452,882.8545869796251,864.0311940331363,1219.9054489696837,1599.6881130139943,1982.1247904538584,2035.3961937714373,1995.896204721062,2302.141263786146,1867.26087162074,1391.0114777985646,304.78244019395663,968.4475986966416,2.3742237450887865e-05,0.0002749752668679,0.0355511232547969,0.0001917037306816,0.1246088788622047,-0.9117351264714532,13.74,7.71,66.95,0.11,90569.91,0.27,212.01,0.0,0.3474,-0.001758,16080252.0,22803744.0,2.4673,2.0407,180.82,0.5943761565849831,0.804187157621448,pokhara
2026-02-07,0.3182587607922804,669.8000126810174,748.2780619262107,900.0034033968223,870.9875928394068,1240.6789027570578,1603.086105757916,1981.7588546551829,2028.9344339821143,2049.0575727796336,2285.8818877355466,1860.562032880009,1387.306181195518,310.439338569051,986.767470920796,2.506606792097404e-05,0.0002998898271471,0.0317384097011676,0.0001864037552968,0.1239110597721828,-1.2874935741533495,13.38,8.03,70.06,1.45,90399.56,0.18,203.65,0.0001,0.3459,-0.00165,15008872.0,23510722.0,2.4675,2.0435,170.93,0.6081214998935418,0.7938439653781019,pokhara
2026-02-08,0.5516754591907195,774.5132532540387,839.5226040021589,906.2294120998746,908.931718072755,1206.216144586641,1716.015191747029,1934.6176157138257,1984.3953491894208,2080.9935102213244,2062.3691538960634,1891.7742781261104,1415.7536449720317,249.34648431868084,1365.6801441912994,2.6065695594406475e-05,0.0002834655169863,0.0337315311792488,0.00017278980475,0.1205641785467121,-0.2213924782136398,12.88,8.96,77.1,6.6,90424.87,0.3,231.74,0.0003,0.3769,-0.001674,13682400.0,23789341.0,2.4676,2.0463,134.01,0.6216868902665479,0.7832658619336791,pokhara
2026-02-09,0.3077652156352997,655.6539318608877,740.0687904950049,880.714667574265,887.5185854223142,1218.6753187881293,1595.9026286419794,2001.04119051448,2051.053930508312,1987.4495087491557,2327.297726448169,1814.5421662722515,1376.7693594234183,309.0518105587609,1030.2703053386251,1.8800177658876904e-05,0.0003323318087495,0.0336089019303117,6.507529605133291e-05,0.1233671590222584,-0.3334330335947807,13.05,8.4,73.41,3.42,90534.79,0.46,260.68,0.0003,0.3781,-0.001646,13923160.0,23636564.0,2.4679,2.049,117.18,0.6350683134867438,0.7724559775191742,pokhara
2026-02-10,0.449139875747814,649.7037722078865,735.284756950056,875.8482385190898,884.5180466504091,1200.8978311751118,1590.426355494371,2017.4011744721572,2052.4108445286806,1997.0532995033363,2375.317096478532,1823.8654665635768,1379.4712710028596,306.67137350953203,1029.4927242870838,2.8338266246633307e-05,0.0003395026724319,0.040133463224479,0.0001958353621268,0.1271053069942914,-0.2939317199675128,12.76,7.55,70.62,2.72,90651.31,0.62,272.94,0.0003,0.3794,-0.002267,18066776.0,22694898.0,2.468,2.0518,195.97,0.6482618097757122,0.7614175109532997,pokhara
2026-02-11,0.3438697975892655,649.0243908615794,750.9844569318561,903.4233150220372,914.6977764172094,1246.4067625736886,1608.468754082928,2036.8726735402213,2059.903827595496,2016.5642276837257,2377.047154381619,1931.2808883801383,1372.342702633883,306.6788866071499,1106.1818129720236,2.2394965581865786e-05,4.189820070550403e-05,0.0381646724701831,0.0001709355376862,0.1275501480655961,-0.4651432247363105,13.91,8.88,71.65,9.16,90702.73,0.51,274.58,0.0003,0.3915,-0.002301,18164364.0,23166493.0,2.4681,2.0546,234.55,0.6612634749656386,0.7501537286959042,pokhara
